"","Player","Pos","TS.","USG.","player.id","url","G","MP","FT%","ftr.16.17","perc.0.3","perc.3.10","perc.10.16","perc.16.3","perc.3","0.3.perc","3.10.perc","10.16.perc","16.3.perc","3.perc","player.ids.16.17"
"376","Pierre Jackson","PG",".416","25.3","jackspi01","https://www.basketball-reference.com/players/j/jackspi01.html",8,84,0.857,0.179,".282",".077",".103",".256",".282",".455",".333",".250",".300",".273","jackspi01"
"377","Quincy Acy","PF",".565","16.8","acyqu01","https://www.basketball-reference.com/players/a/acyqu01.html",38,558,0.75,0.353,".265",".065",".076",".059",".529",".489",".273",".308",".400",".411","acyqu01"
"378","Quinn Cook","PG",".579","19.6","cookqu01","https://www.basketball-reference.com/players/c/cookqu01.html",14,188,0.4,0.076,".167",".106",".106",".212",".394",".545",".857",".571",".429",".423","cookqu01"
"379","R.J. Hunter","SG",".000","4.8","hunterj01","https://www.basketball-reference.com/players/h/hunterj01.html",3,9,NA,0,".000",".000",".000",".000","1.000","","","","",".000","hunterj01"
"380","Rajon Rondo","PG",".461","17.8","rondora01","https://www.basketball-reference.com/players/r/rondora01.html",69,1843,0.6,0.089,".351",".152",".061",".200",".237",".497",".459",".147",".330",".376","rondora01"
"381","Rakeem Christmas","PF",".529","13.1","chrisra01","https://www.basketball-reference.com/players/c/chrisra01.html",29,219,0.724,0.674,".628",".256",".047",".047",".000",".556",".364",".000",".000","","chrisra01"
"382","Ramon Sessions","PG",".495","20.1","sessira01","https://www.basketball-reference.com/players/s/sessira01.html",50,811,0.771,0.449,".312",".240",".122",".091",".236",".512",".333",".281",".292",".339","sessira01"
"383","Randy Foye","SG",".506","14.4","foyera01","https://www.basketball-reference.com/players/f/foyera01.html",69,1284,0.857,0.194,".182",".105",".012",".077",".625",".542",".324",".250",".280",".330","foyera01"
"384","Rashad Vaughn","SG",".449","17.2","vaughra01","https://www.basketball-reference.com/players/v/vaughra01.html",41,458,0.4,0.032,".167",".115",".058",".141",".519",".654",".167",".111",".455",".321","vaughra01"
"385","Raul Neto","PG",".527","14.8","netora01","https://www.basketball-reference.com/players/n/netora01.html",40,346,0.889,0.099,".396",".110",".066",".099",".341",".639",".500",".000",".333",".323","netora01"
"386","Raymond Felton","PG",".496","16.5","feltora01","https://www.basketball-reference.com/players/f/feltora01.html",80,1700,0.781,0.125,".286",".140",".066",".228",".280",".612",".403",".324",".385",".319","feltora01"
"387","Reggie Bullock","SF",".538","13.4","bullore01","https://www.basketball-reference.com/players/b/bullore01.html",31,467,0.714,0.055,".227",".055",".047",".102",".570",".655",".143",".333",".308",".384","bullore01"
"388","Reggie Jackson","PG",".510","26.4","jacksre01","https://www.basketball-reference.com/players/j/jacksre01.html",52,1424,0.868,0.201,".232",".207",".129",".161",".272",".510",".371",".437",".440",".359","jacksre01"
"389","Reggie Williams","SF",".518","14.6","willire02","https://www.basketball-reference.com/players/w/willire02.html",6,79,0.857,0.304,".174",".087",".087",".174",".478",".500",".000",".500",".000",".455","willire02"
"390","Richard Jefferson","SF",".574","12.2","jefferi01","https://www.basketball-reference.com/players/j/jefferi01.html",79,1614,0.741,0.315,".292",".087",".023",".055",".542",".770",".200",".500",".211",".333","jefferi01"
"391","Richaun Holmes","C",".611","18.6","holmeri01","https://www.basketball-reference.com/players/h/holmeri01.html",57,1193,0.699,0.25,".483",".184",".070",".075",".187",".734",".421",".379",".452",".351","holmeri01"
"392","Ricky Rubio","PG",".539","17.4","rubiori01","https://www.basketball-reference.com/players/r/rubiori01.html",75,2469,0.891,0.438,".194",".062",".105",".337",".302",".484",".325",".471",".434",".306","rubiori01"
"393","Robert Covington","SF",".534","19.2","covinro01","https://www.basketball-reference.com/players/c/covinro01.html",67,2119,0.822,0.238,".288",".101",".016",".031",".563",".588",".257",".333",".348",".333","covinro01"
"394","Robin Lopez","C",".511","17.5","lopezro01","https://www.basketball-reference.com/players/l/lopezro01.html",81,2271,0.721,0.134,".312",".324",".094",".267",".003",".566",".474",".452",".449",".000","lopezro01"
"395","Rodney Hood","SG",".522","22.9","hoodro01","https://www.basketball-reference.com/players/h/hoodro01.html",59,1593,0.783,0.173,".123",".161",".140",".116",".461",".573",".383",".409",".416",".371","hoodro01"
"396","Rodney McGruder","SG",".506","12.3","mcgruro01","https://www.basketball-reference.com/players/m/mcgruro01.html",78,1966,0.62,0.154,".215",".185",".059",".061",".478",".707",".341",".296",".321",".332","mcgruro01"
"397","Rodney Stuckey","PG",".483","22.2","stuckro01","https://www.basketball-reference.com/players/s/stuckro01.html",39,696,0.748,0.439,".213",".131",".168",".242",".246",".500",".313",".463",".288",".317","stuckro01"
"398","Ron Baker","SG",".456","14.8","bakerro01","https://www.basketball-reference.com/players/b/bakerro01.html",52,857,0.651,0.198,".346",".106",".041",".120",".396",".547",".130",".333",".462",".267","bakerro01"
"399","Rondae Hollis-Jefferson","SF",".517","18.7","holliro01","https://www.basketball-reference.com/players/h/holliro01.html",78,1761,0.751,0.467,".483",".181",".138",".072",".124",".584",".296",".347",".308",".224","holliro01"
"400","Ronnie Price","PG",".272","9.0","pricero01","https://www.basketball-reference.com/players/p/pricero01.html",14,134,0.75,0.167,".083",".042",".083",".083",".708",".000",".000",".500",".000",".176","pricero01"
"401","Roy Hibbert","C",".614","14.0","hibbero01","https://www.basketball-reference.com/players/h/hibbero01.html",48,682,0.813,0.51,".395",".313",".116",".177",".000",".690",".435",".529",".423","","hibbero01"
"402","Rudy Gay","SF",".559","25.8","gayru01","https://www.basketball-reference.com/players/g/gayru01.html",30,1013,0.855,0.312,".233",".210",".140",".161",".256",".689",".430",".387",".338",".372","gayru01"
"403","Rudy Gobert","C",".681","16.7","goberru01","https://www.basketball-reference.com/players/g/goberru01.html",81,2744,0.653,0.762,".846",".144",".005",".002",".002",".731",".278",".667",".000",".000","goberru01"
"404","Russell Westbrook","PG",".554","41.7","westbru01","https://www.basketball-reference.com/players/w/westbru01.html",81,2802,0.845,0.433,".293",".067",".171",".167",".300",".576",".305",".434",".345",".343","westbru01"
"405","Ryan Anderson","PF",".583","17.9","anderry01","https://www.basketball-reference.com/players/a/anderry01.html",72,2116,0.86,0.194,".144",".074",".035",".092",".655",".568",".351",".444",".338",".403","anderry01"
"406","Ryan Kelly","PF",".408","13.7","kellyry01","https://www.basketball-reference.com/players/k/kellyry01.html",16,110,0.833,0.214,".179",".179",".071",".214",".357",".400",".000",".500",".167",".400","kellyry01"
"407","Salah Mejri","C",".650","10.6","mejrisa01","https://www.basketball-reference.com/players/m/mejrisa01.html",73,905,0.59,0.445,".737",".117",".036",".088",".022",".733",".500",".800",".083",".333","mejrisa01"
"408","Sam Dekker","SF",".549","14.9","dekkesa01","https://www.basketball-reference.com/players/d/dekkesa01.html",77,1419,0.559,0.159,".436",".098",".012",".021",".436",".647",".357",".400",".556",".321","dekkesa01"
"409","Sasha Vujacic","SG",".423","17.3","vujacsa01","https://www.basketball-reference.com/players/v/vujacsa01.html",42,408,0.708,0.176,".074",".015",".074",".294",".544",".200",".000",".200",".375",".311","vujacsa01"
"410","Sean Kilpatrick","SG",".546","23.8","kilpase01","https://www.basketball-reference.com/players/k/kilpase01.html",70,1754,0.843,0.329,".273",".143",".067",".097",".419",".582",".362",".286",".423",".341","kilpase01"
"411","Semaj Christon","PG",".387","12.2","chrisse01","https://www.basketball-reference.com/players/c/chrisse01.html",64,973,0.548,0.139,".283",".148",".148",".143",".283",".492",".364",".364",".313",".190","chrisse01"
"412","Serge Ibaka","PF",".566","20.9","ibakase01","https://www.basketball-reference.com/players/i/ibakase01.html",79,2422,0.856,0.127,".146",".189",".177",".165",".323",".727",".457",".466",".475",".391","ibakase01"
"413","Sergio Rodriguez","PG",".484","19.3","rodrise01","https://www.basketball-reference.com/players/r/rodrise01.html",68,1518,0.667,0.05,".140",".110",".106",".174",".470",".587",".390",".368",".323",".365","rodrise01"
"414","Seth Curry","PG",".601","19.5","curryse01","https://www.basketball-reference.com/players/c/curryse01.html",70,2029,0.85,0.142,".129",".127",".088",".198",".458",".637",".584",".516",".424",".425","curryse01"
"415","Shabazz Muhammad","SF",".566","21.5","muhamsh01","https://www.basketball-reference.com/players/m/muhamsh01.html",78,1516,0.774,0.318,".353",".244",".119",".040",".244",".697",".425",".324",".292",".336","muhamsh01"
"416","Shabazz Napier","PG",".533","21.2","napiesh01","https://www.basketball-reference.com/players/n/napiesh01.html",53,512,0.776,0.268,".202",".055",".055",".186",".503",".432",".400",".400",".441",".370","napiesh01"
"417","Shaun Livingston","PG",".568","13.0","livinsh01","https://www.basketball-reference.com/players/l/livinsh01.html",76,1345,0.7,0.19,".222",".130",".532",".104",".009",".786",".683",".458",".364",".333","livinsh01"
"418","Shawn Long","C",".595","25.4","longsh01","https://www.basketball-reference.com/players/l/longsh01.html",18,234,0.543,0.321,".642",".073",".028",".073",".174",".686",".375",".000",".375",".368","longsh01"
"419","Sheldon Mac","SG",".518","14.0","mcclesh01","https://www.basketball-reference.com/players/m/mcclesh01.html",30,287,0.852,0.36,".227",".093",".133",".147",".400",".471",".571",".700",".364",".233","mcclesh01"
"420","Shelvin Mack","PG",".518","19.6","macksh01","https://www.basketball-reference.com/players/m/macksh01.html",55,1205,0.688,0.202,".239",".184",".165",".100",".315",".637",".443",".444",".421",".308","macksh01"
"421","Skal Labissiere","PF",".577","21.3","labissk01","https://www.basketball-reference.com/players/l/labissk01.html",33,612,0.703,0.339,".289",".275",".220",".174",".037",".683",".400",".521",".579",".375","labissk01"
"422","Solomon Hill","SF",".527","11.5","hillso01","https://www.basketball-reference.com/players/h/hillso01.html",80,2374,0.805,0.268,".277",".078",".048",".029",".566",".523",".270",".304",".214",".348","hillso01"
"423","Spencer Dinwiddie","PG",".581","14.1","dinwisp01","https://www.basketball-reference.com/players/d/dinwisp01.html",59,1334,0.792,0.526,".295",".156",".132",".089",".334",".584",".362",".325",".556",".376","dinwisp01"
"424","Spencer Hawes","PF",".562","19.8","hawessp01","https://www.basketball-reference.com/players/h/hawessp01.html",54,797,0.846,0.188,".336",".170",".119",".083",".292",".688",".511",".424",".304",".309","hawessp01"
"425","Stanley Johnson","SF",".436","14.8","johnsst04","https://www.basketball-reference.com/players/j/johnsst04.html",77,1371,0.679,0.145,".123",".151",".129",".175",".422",".644",".255",".511",".266",".292","johnsst04"
"426","Stephen Curry","PG",".624","30.1","curryst01","https://www.basketball-reference.com/players/c/curryst01.html",79,2638,0.898,0.251,".219",".069",".049",".116",".547",".642",".400",".451",".455",".411","curryst01"
"427","Stephen Zimmerman","C",".346","14.8","zimmest01","https://www.basketball-reference.com/players/z/zimmest01.html",19,108,0.6,0.161,".290",".323",".258",".129",".000",".556",".300",".125",".250","","zimmest01"
"428","Steve Novak","PF",".357","14.5","novakst01","https://www.basketball-reference.com/players/n/novakst01.html",8,22,NA,0,".000",".143",".000",".000",".857","","1.000","","",".167","novakst01"
"429","Steven Adams","C",".589","16.2","adamsst01","https://www.basketball-reference.com/players/a/adamsst01.html",80,2389,0.611,0.392,".557",".388",".046",".005",".002",".655",".488",".367",".000",".000","adamsst01"
"430","T.J. McConnell","PG",".504","14.4","mccontj01","https://www.basketball-reference.com/players/m/mccontj01.html",81,2133,0.811,0.176,".350",".273",".174",".096",".107",".615",".407",".461",".347",".200","mccontj01"
"431","T.J. Warren","SF",".539","19.2","warretj01","https://www.basketball-reference.com/players/w/warretj01.html",66,2048,0.773,0.189,".290",".221",".200",".167",".120",".746",".456",".399",".397",".265","warretj01"
"432","Taj Gibson","PF",".543","19.3","gibsota01","https://www.basketball-reference.com/players/g/gibsota01.html",78,1989,0.715,0.223,".423",".283",".142",".131",".018",".677",".448",".376",".333",".231","gibsota01"
"433","Tarik Black","C",".560","15.7","blackta01","https://www.basketball-reference.com/players/b/blackta01.html",67,1091,0.752,0.371,".667",".262",".037",".024",".007",".622",".286",".364",".143",".500","blackta01"
"434","Taurean Waller-Prince","SF",".513","17.2","princta02","https://www.basketball-reference.com/players/p/princta02.html",59,981,0.787,0.33,".361",".133",".095",".056",".358",".534",".342",".259",".375",".324","princta02"
"435","Terrence Jones","PF",".515","21.4","joneste01","https://www.basketball-reference.com/players/j/joneste01.html",54,1270,0.606,0.346,".397",".308",".055",".086",".153",".677",".364",".370",".357",".253","joneste01"
"436","Terrence Ross","SF",".550","19.3","rosste01","https://www.basketball-reference.com/players/r/rosste01.html",78,1955,0.831,0.103,".105",".088",".113",".168",".524",".654",".515",".464",".480",".363","rosste01"
"437","Terry Rozier","PG",".466","17.1","roziete01","https://www.basketball-reference.com/players/r/roziete01.html",74,1263,0.773,0.161,".275",".090",".092",".107",".436",".469",".243",".368",".409",".318","roziete01"
"438","Thabo Sefolosha","SF",".519","13.3","sefolth01","https://www.basketball-reference.com/players/s/sefolth01.html",62,1596,0.733,0.19,".365",".089",".084",".157",".304",".625",".343",".273",".355",".342","sefolth01"
"439","Thaddeus Young","PF",".562","16.4","youngth01","https://www.basketball-reference.com/players/y/youngth01.html",74,2237,0.523,0.125,".438",".281",".044",".067",".172",".651",".482",".400",".348",".381","youngth01"
"440","Thomas Robinson","PF",".535","20.7","robinth01","https://www.basketball-reference.com/players/r/robinth01.html",48,560,0.47,0.337,".643",".209",".097",".046",".005",".643",".463",".158",".222",".000","robinth01"
"441","Thon Maker","C",".558","17.8","makerth01","https://www.basketball-reference.com/players/m/makerth01.html",57,562,0.653,0.271,".337",".122",".055",".077",".409",".639",".364",".300",".357",".378","makerth01"
"442","Tiago Splitter","C",".544","23.9","splitti01","https://www.basketball-reference.com/players/s/splitti01.html",8,76,0.818,0.355,".613",".194",".000",".000",".194",".526",".333","","",".333","splitti01"
"443","Tim Frazier","PG",".504","16.3","fraziti01","https://www.basketball-reference.com/players/f/fraziti01.html",65,1525,0.76,0.319,".304",".149",".074",".156",".317",".577",".317",".267",".397",".313","fraziti01"
"444","Tim Hardaway","SG",".568","22.5","hardati02","https://www.basketball-reference.com/players/h/hardati02.html",79,2154,0.766,0.235,".292",".078",".066",".107",".457",".654",".408",".400",".398",".357","hardati02"
"445","Tim Quarterman","SG",".511","22.8","quartti01","https://www.basketball-reference.com/players/q/quartti01.html",16,80,0,0.103,".207",".103",".103",".138",".448",".667",".667",".000",".500",".385","quartti01"
"446","Timofey Mozgov","C",".553","16.8","mozgoti01","https://www.basketball-reference.com/players/m/mozgoti01.html",54,1104,0.808,0.238,".439",".259",".125",".174",".003",".660",".353",".439",".456",".000","mozgoti01"
"447","Timothe Luwawu-Cabarrot","SF",".536","17.8","luwawti01","https://www.basketball-reference.com/players/l/luwawti01.html",69,1190,0.854,0.341,".393",".108",".028",".022",".446",".606",".179",".100",".125",".311","luwawti01"
"448","Tobias Harris","PF",".568","21.7","harrito02","https://www.basketball-reference.com/players/h/harrito02.html",82,2567,0.841,0.213,".207",".220",".169",".108",".295",".705",".474",".444",".487",".347","harrito02"
"449","Tomas Satoransky","SG",".477","12.1","satorto01","https://www.basketball-reference.com/players/s/satorto01.html",57,719,0.697,0.224,".322",".219",".123",".082",".253",".468",".500",".444",".500",".243","satorto01"
"450","Toney Douglas","PG",".451","17.4","douglto01","https://www.basketball-reference.com/players/d/douglto01.html",24,394,0.828,0.248,".188",".145",".111",".197",".359",".591",".529",".231",".478",".167","douglto01"
